political,missing_multiplier,time_multiplier,target_multiplier,county_shared,exclude_flagged,year,winner,measure,p05,median,p95,fixed_population
winner_step,1.0,1.0,1.0,False,False,2030,Trump,operating_host_residents_millions,24.3291558,28.788424,33.66254565,39252529.0
winner_step,1.0,1.0,1.0,False,False,2030,Trump,operating_project_count,161.0,198.0,229.0,39252529.0
winner_step,1.0,1.0,1.0,False,False,2030,Trump,operating_gw_per_listed_proposal,0.034216667420826616,0.12630469638645503,0.29121114559499384,39252529.0
winner_step,1.0,1.0,1.0,False,False,2030,Harris,operating_gw,43.255957447346034,58.674436291966664,77.66304130344331,81424822.0
winner_step,1.0,1.0,1.0,False,False,2030,Harris,mw_per_1000_fixed_host_population,0.5312379736899644,0.7205964330135919,0.9538005659188703,81424822.0
winner_step,1.0,1.0,1.0,False,False,2030,Harris,mw_per_1000_operating_host_population,0.6407276167386746,0.8476085911198128,1.1062991094942645,81424822.0
winner_step,1.0,1.0,1.0,False,False,2030,Harris,operating_host_residents_millions,64.80696465,69.55642399999999,73.0128409,81424822.0
winner_step,1.0,1.0,1.0,False,False,2030,Harris,operating_project_count,101.0,115.0,125.0,81424822.0
winner_step,1.0,1.0,1.0,False,False,2030,Harris,operating_gw_per_listed_proposal,0.001088681268943189,0.023017027619423806,0.07867498390360786,81424822.0
winner_step,1.0,1.0,1.0,False,False,2030,Trump/Harris,intensity_ratio,2.6361259321313057,3.6773771813618925,4.9679894188789575,
winner_step,1.0,1.0,1.0,False,False,2032,Trump,operating_gw,106.15431307911068,147.39579586653605,190.82519116673816,39252529.0
winner_step,1.0,1.0,1.0,False,False,2032,Trump,mw_per_1000_fixed_host_population,2.704394233531059,3.7550649505038525,4.861475069969075,39252529.0
winner_step,1.0,1.0,1.0,False,False,2032,Trump,mw_per_1000_operating_host_population,3.5435123657560217,4.582704645046357,5.762559266713701,39252529.0
winner_step,1.0,1.0,1.0,False,False,2032,Trump,operating_host_residents_millions,28.0741871,32.028534,35.7624643,39252529.0
winner_step,1.0,1.0,1.0,False,False,2032,Trump,operating_project_count,198.0,227.0,248.0,39252529.0
winner_step,1.0,1.0,1.0,False,False,2032,Trump,operating_gw_per_listed_proposal,0.12753232367392411,0.29542943095406904,0.5213636263887563,39252529.0
winner_step,1.0,1.0,1.0,False,False,2032,Harris,operating_gw,52.837944839444745,69.14966898731353,88.49842116557707,81424822.0
winner_step,1.0,1.0,1.0,False,False,2032,Harris,mw_per_1000_fixed_host_population,0.6489169216660338,0.8492455652812296,1.0868727617921852,81424822.0
winner_step,1.0,1.0,1.0,False,False,2032,Harris,mw_per_1000_operating_host_population,0.748576641609116,0.9677087774653892,1.2371341609443767,81424822.0
